Game Number,Start Time,Opponent,Total Wins,Total Losses,Playoffs in last year,Championships,Vegas Odds for 1819,day_of_week,month,date,year,Last Result,Last Overtime,Last LAC Score,Last Opp Score,Lagged Result,Lagged Overtime,Lagged LAC Score,Lagged Opp Score,Streak Direction,Streak Numeric,Last Att,Lagged Att
1,0,12,43,39,0,16,50.5,5,6,22,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
4,0,3,43,39,0,0,23.5,1,6,28,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
6,0,25,43,39,1,5,46.5,4,6,31,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
7,3,27,43,39,1,0,53.5,3,5,3,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
8,2,15,43,39,1,1,57.5,6,5,6,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
9,0,23,43,39,1,1,46.5,4,5,7,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
10,0,26,43,39,1,1,46.5,1,5,11,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
13,0,0,43,39,0,1,33.5,2,5,16,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
14,0,19,43,39,1,1,32.5,1,5,18,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
15,2,1,43,39,1,17,48.5,6,5,20,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
16,0,10,43,39,1,2,54,0,5,22,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
17,3,17,43,39,0,0,37.5,3,5,24,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
21,0,28,43,39,0,1,27,3,1,1,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
22,2,23,43,39,1,1,46.5,5,1,3,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
29,0,22,43,39,0,0,29.5,5,1,17,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
30,0,10,43,39,1,2,54,4,1,19,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
34,0,27,43,39,1,0,53.5,2,1,28,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
36,0,8,43,39,1,3,37.5,4,3,2,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
37,1,13,43,39,0,0,27.5,2,3,4,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
38,1,18,43,39,0,2,26.5,3,3,5,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
39,0,9,43,39,1,5,47.5,0,3,10,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
41,0,5,43,39,0,1,24.5,5,3,14,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
42,0,20,43,39,1,0,41.5,4,3,16,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
48,0,24,43,39,0,1,37.5,4,3,30,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
49,1,16,43,39,0,0,35.5,2,2,1,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
50,0,25,43,39,1,5,46.5,1,2,3,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
51,0,14,43,39,0,3,43.5,6,2,5,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
56,1,24,43,39,0,1,37.5,2,2,22,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
57,0,13,43,39,0,0,27.5,1,2,24,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
59,0,7,43,39,1,0,53,0,2,28,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
60,1,21,43,39,1,3,54.5,3,4,1,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
63,1,12,43,39,0,16,50.5,3,4,8,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
